Variation,pl,pw,dB(St(patch_1_T1 patch_1_T1)): Freq(2.4GHz),VSWRt(patch_1_T1): Freq(2.4GHz),re(Zot(patch_1_T1 patch_1_T1)): Freq(2.4GHz)
1,37mm,29mm,-7.75854948488495,2.38597973487967,50
2,37.2mm,29mm,-8.38507613497497,2.23019946637844,50
3,37.4mm,29mm,-8.2540018961044,2.26069524760754,50
4,37.6mm,29mm,-11.8306197367539,1.68866008744916,50
5,37.8mm,29mm,-10.5868763847615,1.83916349515983,50
6,38mm,29mm,-10.6235962249332,1.83414691507923,50
7,37mm,29.2mm,-11.1515235169,1.76611522030192,50
8,37.2mm,29.2mm,-12.1152044566424,1.65914668428852,50
9,37.4mm,29.2mm,-13.0885019451103,1.5693817414247,50
10,37.6mm,29.2mm,-9.17418456143954,2.0663978984081,50
11,37.8mm,29.2mm,-11.9834539497485,1.67260911357232,50
12,38mm,29.2mm,-15.0878764291212,1.427296109176,50
13,37mm,29.4mm,-10.8454192279969,1.80465180613469,50
14,37.2mm,29.4mm,-15.218275214515,1.41959337912241,50
15,37.4mm,29.4mm,-17.3437607866959,1.31420558305105,50
16,37.6mm,29.4mm,-10.8423039423056,1.80505664396464,50
17,37.8mm,29.4mm,-14.3036826836385,1.47730413036448,50
18,38mm,29.4mm,-8.41835452518293,2.22261943733687,50
19,37mm,29.6mm,-19.4057888871895,1.23984367151987,50
20,37.2mm,29.6mm,-17.6895051818358,1.30010434179852,50
21,37.4mm,29.6mm,-7.7613504929109,2.38522334756784,50
22,37.6mm,29.6mm,-17.9756922146783,1.28897208048773,50
23,37.8mm,29.6mm,-16.5165967112934,1.35110991854084,50
24,38mm,29.6mm,-7.17570727199212,2.55706305564665,50
25,37mm,29.8mm,-6.93729512652982,2.63583440879617,50
26,37.2mm,29.8mm,-15.8432971975467,1.38485498499842,50
27,37.4mm,29.8mm,-14.4211556315665,1.46938742511672,50
28,37.6mm,29.8mm,-5.20483872628207,3.4368999541582,50
29,37.8mm,29.8mm,-6.16171480238756,2.93656156166386,50
30,38mm,29.8mm,-13.8691445457594,1.50800967025139,50
31,37mm,30mm,-12.3274442064792,1.63815872437585,50
32,37.2mm,30mm,-5.89979298329982,3.05681810571532,50
33,37.4mm,30mm,-4.32779722219948,4.09670137820416,50
34,37.6mm,30mm,-3.25631521810464,5.39713355759189,50
35,37.8mm,30mm,-11.2300744034202,1.75660887170045,50
36,38mm,30mm,-10.6624687823667,1.82887844891922,50
